customer_unique_id,total_spent,order_count,avg_spent_per_order
0a0a92112bd4c708ca5fde585afaa872,13664.08,8,1708.01
da122df9eeddfedc1dc1f5349a1a690c,7571.63,2,3785.815
763c8b1c9c68a0229c42c9fc6f662b93,7274.88,4,1818.72
dc4802a71eae9be1dd28f5d788ceb526,6929.31,1,6929.31
459bef486812aa25204be022145caa62,6922.21,1,6922.21
ff4159b92c40ebe40454e3e6a7c35ed6,6726.66,1,6726.66
4007669dec559734d6f53e029e360987,6081.54,6,1013.59
eebb5dda148d3893cdaf5b5ca3040ccb,4764.34,1,4764.34
48e1ac109decbb87765a3eade6854098,4681.78,1,4681.78
c8460e4251689ba205045f3ea17884a1,4655.88,24,193.995
edde2314c6c30e864a128ac95d6b2112,4513.32,1,4513.32
a229eba70ec1c2abef51f04987deb7a5,4445.5,2,2222.75
edf81e1f3070b9dac83ec83dacdbb9bc,4194.76,1,4194.76
fa562ef24d41361e476e748681810e1e,4175.26,1,4175.26
ca27f3dac28fb1063faddd424c9d95fa,4163.51,1,4163.51
58483a1c055dfb600f57c5b867174542,4034.44,1,4034.44
011875f0176909c5cf0b14a9138bb691,4016.9100000000003,1,4016.9100000000003
f0767ae738c3d90e7b737d7b8b8bb4d1,3979.55,1,3979.55
bc5e25094a7d51b6aee35236572e64f4,3826.8,1,3826.8
3fec1a05177762f279472253113d568a,3792.59,1,3792.59
5d09b0d82126457e2a8ebfb9c9a1ffc4,3736.22,1,3736.22
931eabdf0636b8fd60369a8d759917d6,3666.42,3,1222.14
03796b63235e0e0a299084988c662c7e,3602.47,1,3602.47
59d66d72939bc9497e19d89c61a96d5f,3559.9900000000002,2,1779.9950000000001
2c3b08cf3584d8c0a81d9618a73aa219,3526.4599999999996,1,3526.4599999999996
95a744604de66a2e40e18086e69be4f2,3406.4700000000003,1,3406.4700000000003
76a08544f95591acec0d4c976054c459,3358.24,2,1679.12
ce3fe361f9e68bf0a813baaae1334d01,3351.35,1,3351.35
7a96eb0a685f5c19b7dad29fc802aa64,3297.4,1,3297.4
9b11e010850a4045d2da80c7783fdbd1,3256.14,2,1628.07
adfa1cab2b2c8706db21bb13c0a1beb1,3242.8399999999992,6,540.4733333333332
bbeb907759ef5fc169099af3c88d535d,3209.72,1,3209.72
1b76903617af13189607a36b0469f6f3,3195.74,6,532.6233333333333
6f00d356a4be20527662aaf12116baab,3184.55,1,3184.55
46450c74a0d8c5ca9395da1daac6c120,3184.3399999999997,1,3184.3399999999997
53fb3435773a4690e56010b169ee2820,3155.82,1,3155.82
895617ab63a9ad8881d9470f7427cd25,3126.5,1,3126.5
c6111f70f40b3420e387493c627c27fa,3126.5,1,3126.5
be825ddd3b40db3f91bf05b4e9435d56,3122.72,4,780.68
f886a3f43af9ac928fbb4b56436c528c,3076.13,1,3076.13
ff0ae98646e7bbb41cf0f0d3991fef98,3048.27,1,3048.27
0f75637a7e2f7b6ae43665d1f7d0ca5d,3044.12,1,3044.12
2ae8173a688e326821403a5b7a6858c2,3042.3599999999997,1,3042.3599999999997
6172bd5b7f52ade8c6c4548b448ff54f,3041.73,1,3041.73
ea984b06b18cc6905bc2f9b0a3d1c986,3024.08,1,3024.08
ef8d54b3797ea4db1d63f0ced6a906e9,3018.600000000001,10,301.86000000000007
ee2bb06c1d3f368e92084edefb7e4b57,3016.01,1,3016.01
ae04948ad7210ea76801b331080e0b3a,3009.53,1,3009.53
4683ad127301c1bcbd601a30bb22d2ba,3005.06,1,3005.06
